stim,trial,contract,date,total,swim,rolling
58.0,Trial 1,0.6,2024_07_28,15,3,0.49333333333333335
59.0,Trial 1,0.3333333333333333,2024_07_28,15,3,0.4666666666666667
60.0,Trial 1,0.4666666666666667,2024_07_28,15,3,0.4933333333333333
1.0,Trial 2,0.8,2024_07_28,15,3,0.5199999999999999
2.0,Trial 2,0.8,2024_07_28,15,3,0.6
3.0,Trial 2,0.6666666666666666,2024_07_28,15,3,0.6133333333333334
4.0,Trial 2,0.8,2024_07_28,15,3,0.7066666666666667
5.0,Trial 2,0.6666666666666666,2024_07_28,15,3,0.7466666666666666
6.0,Trial 2,0.6,2024_07_28,15,3,0.7066666666666667
7.0,Trial 2,0.5333333333333333,2024_07_28,15,3,0.6533333333333333
8.0,Trial 2,0.5333333333333333,2024_07_28,15,3,0.6266666666666667
9.0,Trial 2,0.4666666666666667,2024_07_28,15,3,0.5599999999999999
10.0,Trial 2,0.6,2024_07_28,15,3,0.5466666666666666
11.0,Trial 2,0.4666666666666667,2024_07_28,15,3,0.52
12.0,Trial 2,0.6,2024_07_28,15,3,0.5333333333333334
13.0,Trial 2,0.4666666666666667,2024_07_28,15,3,0.52
14.0,Trial 2,0.6,2024_07_28,15,3,0.5466666666666666
15.0,Trial 2,0.4,2024_07_28,15,3,0.5066666666666666
16.0,Trial 2,0.6,2024_07_28,15,3,0.5333333333333333
17.0,Trial 2,0.6,2024_07_28,15,3,0.5333333333333334
18.0,Trial 2,0.4,2024_07_28,15,3,0.52
19.0,Trial 2,0.5333333333333333,2024_07_28,15,3,0.5066666666666666
20.0,Trial 2,0.4666666666666667,2024_07_28,15,3,0.52
21.0,Trial 2,0.4,2024_07_28,15,3,0.48
22.0,Trial 2,0.6,2024_07_28,15,3,0.48
23.0,Trial 2,0.4,2024_07_28,15,3,0.48
24.0,Trial 2,0.6,2024_07_28,15,3,0.49333333333333335
25.0,Trial 2,0.5333333333333333,2024_07_28,15,3,0.5066666666666666
26.0,Trial 2,0.4666666666666667,2024_07_28,15,3,0.52
27.0,Trial 2,0.5333333333333333,2024_07_28,15,3,0.5066666666666666
28.0,Trial 2,0.5333333333333333,2024_07_28,15,3,0.5333333333333333
29.0,Trial 2,0.4666666666666667,2024_07_28,15,3,0.5066666666666666
30.0,Trial 2,0.5333333333333333,2024_07_28,15,3,0.5066666666666666
31.0,Trial 2,0.4666666666666667,2024_07_28,15,3,0.5066666666666666
32.0,Trial 2,0.4,2024_07_28,15,3,0.48
33.0,Trial 2,0.4666666666666667,2024_07_28,15,3,0.4666666666666667
34.0,Trial 2,0.4666666666666667,2024_07_28,15,3,0.4666666666666667
35.0,Trial 2,0.5333333333333333,2024_07_28,15,3,0.4666666666666667
36.0,Trial 2,0.4,2024_07_28,15,3,0.4533333333333333
37.0,Trial 2,0.3333333333333333,2024_07_28,15,3,0.44000000000000006
38.0,Trial 2,0.3333333333333333,2024_07_28,15,3,0.4133333333333333
39.0,Trial 2,0.5333333333333333,2024_07_28,15,3,0.42666666666666664
40.0,Trial 2,0.3333333333333333,2024_07_28,15,3,0.38666666666666666
41.0,Trial 2,0.3333333333333333,2024_07_28,15,3,0.3733333333333333
42.0,Trial 2,0.4,2024_07_28,15,3,0.3866666666666666
43.0,Trial 2,0.4,2024_07_28,15,3,0.4
44.0,Trial 2,0.3333333333333333,2024_07_28,15,3,0.36
45.0,Trial 2,0.3333333333333333,2024_07_28,15,3,0.36
46.0,Trial 2,0.4666666666666667,2024_07_28,15,3,0.3866666666666666
47.0,Trial 2,0.5333333333333333,2024_07_28,15,3,0.4133333333333333
48.0,Trial 2,0.26666666666666666,2024_07_28,15,3,0.3866666666666666
49.0,Trial 2,0.2,2024_07_28,15,3,0.36
50.0,Trial 2,0.4666666666666667,2024_07_28,15,3,0.3866666666666666
51.0,Trial 2,0.4666666666666667,2024_07_28,15,3,0.3866666666666667
52.0,Trial 2,0.3333333333333333,2024_07_28,15,3,0.3466666666666666
53.0,Trial 2,0.4,2024_07_28,15,3,0.37333333333333335
54.0,Trial 2,0.3333333333333333,2024_07_28,15,3,0.39999999999999997
55.0,Trial 2,0.3333333333333333,2024_07_28,15,3,0.37333333333333335
56.0,Trial 2,0.3333333333333333,2024_07_28,15,3,0.3466666666666666
57.0,Trial 2,0.5333333333333333,2024_07_28,15,3,0.3866666666666666
58.0,Trial 2,0.4666666666666667,2024_07_28,15,3,0.4
59.0,Trial 2,0.26666666666666666,2024_07_28,15,3,0.3866666666666666
60.0,Trial 2,0.2,2024_07_28,15,3,0.36
